Month,Student Gain,Total Spending,Monthly YouTube Views
1,1,38494.0,0
2,0,27084.0,0
3,0,27452.0,0
4,0,27907.0,0
5,0,17120.0,0
6,3,7850.0,0
7,7,8466.0,0
8,5,10460.0,0
9,39,41459.0,49584
10,18,61707.0,476
11,42,126313.0,168515
12,27,0.0,184397
